opportunity_key,vertical,use_case_id,technology_id,market_size_status,europe_low_eur,europe_central_eur,europe_high_eur,countries_covered,countries_expected,coverage_ratio,coverage_status,nace_component_coverage_ratio,nace_component_coverage_status,blocking_reasons,public_employment_persons,general_public_services_expenditure_eur,defence_expenditure_eur,linked_ted_notice_count,nace_codes,denominator_method,vertical_mapping_status,vertical_mapping_quality,vertical_statistical_scope,vertical_mapping_limitation,technology_proxy,technology_mapping_status
Aerospace|predictive-maintenance|edge-computing,Aerospace,predictive-maintenance,edge-computing,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",cloud,mapped_proxy
Aerospace|predictive-maintenance|industrial-robotics,Aerospace,predictive-maintenance,industrial-robotics,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Aerospace|predictive-maintenance|iot-platforms,Aerospace,predictive-maintenance,iot-platforms,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Aerospace|route-optimization|autonomous-vehicles-drones,Aerospace,route-optimization,autonomous-vehicles-drones,pending_or_unavailable,,,,23,29,0.7931034482758621,partial,0.7931034482758621,partial,blocked_annual_value_not_approved,,,,0,['C303'],sbs_enterprise_count,mapped,narrow_proxy,Manufacture of air and spacecraft and related machinery,"Does not include airlines, airports, space research or the wider aerospace supply chain.",iot,mapped_proxy
Automotive|anomaly-detection|computer-vision,Automotive,anomaly-detection,computer-vision,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",ai,mapped_proxy
Automotive|anomaly-detection|cybersecurity-platform,Automotive,anomaly-detection,cybersecurity-platform,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",cybersecurity,mapped_proxy
Automotive|anomaly-detection|machine-learning,Automotive,anomaly-detection,machine-learning,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",ai,mapped_proxy
Automotive|asset-tracking|autonomous-vehicles-drones,Automotive,asset-tracking,autonomous-vehicles-drones,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",iot,mapped_proxy
Automotive|asset-tracking|cloud-data-platform,Automotive,asset-tracking,cloud-data-platform,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",cloud,mapped_proxy
Automotive|asset-tracking|digital-twin,Automotive,asset-tracking,digital-twin,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",cloud,mapped_proxy
Automotive|asset-tracking|iot-platforms,Automotive,asset-tracking,iot-platforms,pending_or_unavailable,,,,24,29,0.8275862068965517,partial,0.8275862068965517,partial,blocked_annual_value_not_approved,,,,0,['C29'],sbs_enterprise_count,mapped,direct_sector_proxy,"Manufacture of motor vehicles, trailers and semi-trailers","Does not include vehicle retail, repair, mobility services or all upstream suppliers.",iot,mapped_proxy
