source_dataset,purpose,year,country,nace_code,region,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_iep,market_size_plausibility_context,2021,HU,B,eastern_europe,INV_SOFT_MEUR,0.1,,0.10
sbs_ovw_iep,market_size_plausibility_context,2021,HU,C,eastern_europe,INV_SOFT_MEUR,152.25,,152.25
sbs_ovw_iep,market_size_plausibility_context,2021,HU,C21,eastern_europe,INV_SOFT_MEUR,33.31,,33.31
sbs_ovw_iep,market_size_plausibility_context,2021,HU,C29,eastern_europe,INV_SOFT_MEUR,20.29,,20.29
sbs_ovw_iep,market_size_plausibility_context,2021,HU,D35,eastern_europe,INV_SOFT_MEUR,28.69,,28.69
sbs_ovw_iep,market_size_plausibility_context,2021,HU,F,eastern_europe,INV_SOFT_MEUR,20.55,,20.55
sbs_ovw_iep,market_size_plausibility_context,2021,IE,B,uk_ireland,INV_SOFT_MEUR,9.34,,9.34
sbs_ovw_iep,market_size_plausibility_context,2021,IE,C,uk_ireland,INV_SOFT_MEUR,830.03,,830.03
sbs_ovw_iep,market_size_plausibility_context,2021,IE,C21,uk_ireland,INV_SOFT_MEUR,,,: @C
sbs_ovw_iep,market_size_plausibility_context,2021,IE,C29,uk_ireland,INV_SOFT_MEUR,0.71,,0.71
sbs_ovw_iep,market_size_plausibility_context,2021,IE,D35,uk_ireland,INV_SOFT_MEUR,32.96,,32.96
sbs_ovw_iep,market_size_plausibility_context,2021,IE,F,uk_ireland,INV_SOFT_MEUR,14.6,,14.60
sbs_ovw_iep,market_size_plausibility_context,2021,IT,B,southern_europe,INV_SOFT_MEUR,3.99,,3.99
sbs_ovw_iep,market_size_plausibility_context,2021,IT,C,southern_europe,INV_SOFT_MEUR,1018.76,,1018.76
sbs_ovw_iep,market_size_plausibility_context,2021,IT,C21,southern_europe,INV_SOFT_MEUR,29.07,,29.07
sbs_ovw_iep,market_size_plausibility_context,2021,IT,C29,southern_europe,INV_SOFT_MEUR,50.86,,50.86
sbs_ovw_iep,market_size_plausibility_context,2021,IT,D35,southern_europe,INV_SOFT_MEUR,228.67,,228.67
