source_dataset,year,indicator,purpose,expected_rows,rows_found,numeric_values,missing_or_suppressed,countries_present
sbs_sc_ovw,2024,ENT_NR,primary_enterprise_denominator,928,860,809,51,AT; BE; BG; CH; CZ; DE; DK; EE; ES; FI; FR; HR; HU; IE; IS; IT; LT; LU; LV; NL; NO; PL; PT; RO; SE; SI; SK
sbs_ovw_smc,2024,ENT_NR,optional_large_enterprise_detail,1392,169,45,124,BG; CZ; DE; ES; FI; HR; IE; IT; LT; LV; PL; PT; SE
sbs_ovw_act,2024,ENT_NR,vertical_nace_crosswalk_validation,464,431,426,5,AT; BE; BG; CH; CZ; DE; DK; EE; ES; FI; FR; HR; HU; IE; IS; IT; LT; LU; LV; NL; NO; PL; PT; RO; SE; SI; SK
sbs_ovw_iep,2021,INV_SOFT_MEUR,market_size_plausibility_context,464,127,121,6,AT; BE; BG; CZ; DE; DK; ES; FI; HR; HU; IE; IT; LT; LU; NL; NO; PL; PT; RO; SE; SI; SK
