source_dataset,purpose,year,country,nace_code,region,size_class,indic_sbs,observed_value,status_flag,raw_value
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,K,southern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,K,southern_europe,50-249,ENT_NR,379.0,p,379 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,ES,K,southern_europe,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,B,nordics,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,B,nordics,50-249,ENT_NR,10.0,p,10 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,B,nordics,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,C,nordics,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,C,nordics,50-249,ENT_NR,791.0,p,791 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,C,nordics,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,F,nordics,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,F,nordics,50-249,ENT_NR,246.0,p,246 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,F,nordics,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,H,nordics,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,H,nordics,50-249,ENT_NR,233.0,p,233 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,H,nordics,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,K,nordics,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,K,nordics,50-249,ENT_NR,104.0,p,104 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,FI,K,nordics,GE500,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,B,eastern_europe,250-499,ENT_NR,,,:
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,B,eastern_europe,50-249,ENT_NR,7.0,p,7 p
sbs_ovw_smc,optional_large_enterprise_detail,2024,HR,B,eastern_europe,GE500,ENT_NR,,,:
